hgnc_id	approved_symbol	approved_name	status	previous_symbols	alias_symbols	accession_numbers	refseq_ids	alias_names	ensembl_gene_id	ncbi_gene_id
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		"SUR2, CMD1O"	AF061323	NM_005691	sulfonylurea receptor 2	ENSG00000069431	10060
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		"EST182763, MRP7, SIMRP7"	U66684	NM_033450		ENSG00000124574	89845
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	AF367202	NM_032583		ENSG00000121270	85320
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	AY040220	NM_033226		ENSG00000140798	94160
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved		"PRED6, C21orf73, ABCC13P"	AF418600			ENSG00000243064	150000
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	"AMN, ALDP, adrenoleukodystrophy"	Z21876	NM_000033		ENSG00000101986	215
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved			U90290				23785
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved		bA453N3.6	U90288			ENSG00000215151	26983
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved			U90289			ENSG00000261233	26982
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved			U90291			ENSG00000225293	26957
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved						ENSG00000214330	642762
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDL1	"ALDR, ALDRP"	U28150	NM_005164		ENSG00000173208	225
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	"PMP70, ZWS2"	M81182	NM_002858	peroxisomal membrane protein 70 kDa	ENSG00000117528	5825
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	"PMP69, P70R, EST352188"	AF009746	NM_005050		ENSG00000119688	5826
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	"RNASEL1, RNASELI, RNS4I"	"RLI, OABP, RLI1"	X74987	NM_002940	RNase L inhibitor 1	ENSG00000164163	6059
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	AF027302			ENSG00000204574	23
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	Approved							107986587
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		"EST133090, ABC28, M-ABC1, HUSSY-18"	AJ005016	NM_005692		ENSG00000033050	10061
HGNC:54751	ABCF2-H2BE1	ABCF2-H2BE1 readthrough	Approved						ENSG00000285292	114483834
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved						ENSG00000242159	344653
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved						ENSG00000228769	100422059
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	U66685	NM_018358		ENSG00000161204	55324
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	U34919	NM_207174	ATP-binding cassette transporter 8	ENSG00000160179	9619
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		"EST157481, MXR, BCRP, ABCP, CD338"	AF103796	NM_004827		ENSG00000118777	9429
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	AJ300465	NM_022169	"putative ABC transporter, ""ATP-binding cassette, subfamily G, member 4"""	ENSG00000172350	64137
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved		STSL	T93792	NM_022436	sterolin 1	ENSG00000138075	64240
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved		GBD4	AF320294	NM_022437	"gallbladder disease 4, ""sterolin 2"""	ENSG00000143921	64241
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		"LABH1, FLJ36128"	AK093447	NM_032604		ENSG00000143994	84696
HGNC:18717	ABHD2	"abhydrolase domain containing 2, acylglycerol lipase"	Approved		LABH2	X12433			ENSG00000140526	11057
HGNC:18718	ABHD3	"abhydrolase domain containing 3, phospholipase"	Approved		LABH3	AK024880			ENSG00000158201	171586
HGNC:20154	ABHD4	"abhydrolase domain containing 4, N-acyl phospholipase B"	Approved		FLJ12816	AK022878			ENSG00000100439	63874
HGNC:21396	ABHD5	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Approved		"CGI-58, NCIE2"	AF007132	NM_016006		ENSG00000011198	51099
HGNC:21398	ABHD6	"abhydrolase domain containing 6, acylglycerol lipase"	Approved			AF225418	NM_020676		ENSG00000163686	57406
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		"FLJ11743, MGC14280, MGC2512"	AK021805	NM_024527		ENSG00000127220	79575
HGNC:25656	ABHD10	"abhydrolase domain containing 10, depalmitoylase"	Approved		FLJ11342	AL713726	NM_018394	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	ENSG00000144827	55347
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	AF217971			ENSG00000106077	83451
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	"WBSCR26, LINC00035"	NCRNA00035	BU595969	NR_026690	non-protein coding RNA 35	ENSG00000225969	171022
HGNC:15868	ABHD12	"abhydrolase domain containing 12, lysophospholipase"	Approved	C20orf22	"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"	AL117442	NM_015600		ENSG00000100997	26090
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3	BG698443			ENSG00000131969	145447
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	"bA153I24.2, FLJ14906, BEM46L1"	AK027812	NM_032859		ENSG00000139826	84945
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		"DKFZP564O243, DORZ1"	AY358201	NM_015407		ENSG00000248487	25864
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved						ENSG00000114786	100526760
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		"MGC15429, CIB"	AK075112	NM_032750		ENSG00000114779	84836
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			AK056717	NM_198147		ENSG00000168792	116236
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved		"linc-TP53I13, lnc-TP53I13"	CN275323			ENSG00000264031	
HGNC:13921	ABHD16A	"abhydrolase domain containing 16A, phospholipase"	Approved	BAT5	"NG26, D6S82E"	AF129756			ENSG00000204427	7920
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1				ENSG00000183260	140701
HGNC:28756	ABHD17A	"abhydrolase domain containing 17A, depalmitoylase"	Approved	"C19orf27, FAM108A1"	MGC5244	BC020512	NM_031213		ENSG00000129968	81926
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	Approved	"FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P"	C1orf47		NG_011738		ENSG00000198658	728917
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	Approved	"FAM108A4, FAM108A4P"			XR_041784		ENSG00000250536	648359
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	Approved	"FAM108A5, FAM108A5P"					ENSG00000229107	729495
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	Approved	"FAM108A6, FAM108A6P"					ENSG00000263366	91219
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	Approved	FAM108A7P					ENSG00000226981	644988
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	Approved	FAM108A8P					ENSG00000260864	100133212
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	Approved	FAM108A9P					ENSG00000260540	647144
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	Approved	FAM108A10P					ENSG00000261536	100132251
HGNC:24278	ABHD17B	"abhydrolase domain containing 17B, depalmitoylase"	Approved	"C9orf77, FAM108B1"	CGI-67	AF151825	NM_016014		ENSG00000107362	51104
HGNC:26925	ABHD17C	"abhydrolase domain containing 17C, depalmitoylase"	Approved	FAM108C1			NM_021214		ENSG00000136379	58489
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	AK024759	NM_001039717		ENSG00000164074	80167
HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	"E3B1, ABI-1"	U87166	NM_005470		ENSG00000136754	10006
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	Approved	"SSH3BP1P, ABI1P"			NG_002531		ENSG00000271484	326268
HGNC:24011	ABI2	abl interactor 2	Approved		"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	AF260261	NM_005759		ENSG00000138443	10152
HGNC:29859	ABI3	ABI family member 3	Approved		"NESH, SSH3BP3"	AB037886	NM_016428		ENSG00000108798	51225
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		"NESHBP, DKFZP586L2024, TARSH"	AB056106		target of Nesh-SH3	ENSG00000154175	25890
HGNC:1364	ABITRAM	actin binding transcription modulator	Approved	"C9orf6, FAM206A"	"CG-8, FLJ20457, Simiate"	BC015795	NM_017832		ENSG00000119328	54942
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	Approved	FAM206BP			NG_011392		ENSG00000251106	390403
HGNC:76	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	Approved	ABL	"JTK7, c-ABL, p150"	M14752	NM_007313		ENSG00000097007	25
HGNC:77	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	Approved	ABLL	ARG	M14904	NM_005158	Abelson-related gene	ENSG00000143322	27
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	"LIMAB1, ABLIM"	"abLIM, limatin"	AF005654			ENSG00000099204	3983
