entry,entry_id
NUPL2,NUPL2
COMMD3,COMMD3
KAT5,KAT5
AMPD3,AMPD3
RTN4RL2,RTN4RL2
ODF3,ODF3
AKAP3,AKAP3
REG4,REG4
TIMM50,TIMM50
TMEM91,TMEM91
TIFAB,TIFAB
KLF16,KLF16
AQP1,AQP1
KRTAP5-1,KRTAP5-1
SEC24D,SEC24D
LINGO1,LINGO1
ZSWIM5,ZSWIM5
TK2,TK2
SHISA6,SHISA6
SMAGP,SMAGP
TRAV29DV5,TRAV29DV5
HMCN1,HMCN1
VTCN1,VTCN1
LAMTOR3,LAMTOR3
NPM1,NPM1
DHH,DHH
SIT1,SIT1
PPP1R27,PPP1R27
MTMR14,MTMR14
ZBP1,ZBP1
TANK,TANK
ISOC2,ISOC2
ADGRF5,ADGRF5
C19orf44,C19orf44
MAP4K3,MAP4K3
NAP1L5,NAP1L5
TMEM176A,TMEM176A
OR4F17,OR4F17
P2RX1,P2RX1
GUCA1B,GUCA1B
IGLV3-1,IGLV3-1
KBTBD8,KBTBD8
PAF1,PAF1
PCP2,PCP2
MAP3K11,MAP3K11
MXRA5,MXRA5
TBL1X,TBL1X
PEX13,PEX13
YBX1,YBX1
PRTG,PRTG
CCDC12,CCDC12
NIT1,NIT1
GPA33,GPA33
TGDS,TGDS
DRAM1,DRAM1
ALDH16A1,ALDH16A1
TRAJ1,TRAJ1
BNC2,BNC2
C9orf131,C9orf131
NWD2,NWD2
UGT1A3,UGT1A3
USP9X,USP9X
EFHC1,EFHC1
KIR3DX1,KIR3DX1
FAM221A,FAM221A
SLC22A12,SLC22A12
TAX1BP1,TAX1BP1
NUPR2,NUPR2
ANKS6,ANKS6
SYNDIG1,SYNDIG1
MTRNR2L10,MTRNR2L10
PCID2,PCID2
GRPEL2,GRPEL2
PLXNB1,PLXNB1
TRAJ23,TRAJ23
ZNF616,ZNF616
HCFC1,HCFC1
IGLJ2,IGLJ2
CEP76,CEP76
HRH1,HRH1
TAS2R13,TAS2R13
SUV39H1,SUV39H1
N4BP3,N4BP3
BET1,BET1
MED26,MED26
MIXL1,MIXL1
SLC25A3,SLC25A3
GREB1,GREB1
WDR74,WDR74
CCDC83,CCDC83
GLYCTK,GLYCTK
VASN,VASN
MED1,MED1
OR2T35,OR2T35
CRYBG2,CRYBG2
TIPIN,TIPIN
CEP70,CEP70
GHITM,GHITM
PDGFD,PDGFD
RGS9,RGS9
TMEM41A,TMEM41A
HGNC:34412,HGNC:34412
FBXO21,FBXO21
GATD1,GATD1
FABP9,FABP9
CCDC174,CCDC174
FANCL,FANCL
BCL9L,BCL9L
RNASE8,RNASE8
SERPINB5,SERPINB5
FAM213A,FAM213A
EIF3K,EIF3K
RAP1A,RAP1A
FAT1,FAT1
MFAP1,MFAP1
C17orf67,C17orf67
AGAP1,AGAP1
RAB3IL1,RAB3IL1
SSX7,SSX7
LSR,LSR
DDX31,DDX31
TAS2R31,TAS2R31
OR4F5,OR4F5
ETV7,ETV7
BCL7C,BCL7C
RHAG,RHAG
ZBTB12,ZBTB12
MTPAP,MTPAP
RNF11,RNF11
CORO1B,CORO1B
NANOS2,NANOS2
RTL10,RTL10
LSM7,LSM7
RBM27,RBM27
IPO13,IPO13
CXCL5,CXCL5
EPS15,EPS15
IPO7,IPO7
ELP5,ELP5
PLD6,PLD6
ENSG00000142539,ENSG00000142539
HMBS,HMBS
NME3,NME3
KLHL13,KLHL13
CD58,CD58
HIST1H1A,HIST1H1A
MB21D1,MB21D1
PTPRO,PTPRO
SLC29A3,SLC29A3
SERF1A,SERF1A
SLC3A1,SLC3A1
GJA1,GJA1
RAB42,RAB42
USP34,USP34
EPB41L4B,EPB41L4B
NTRK1,NTRK1
OR2AG1,OR2AG1
DDX47,DDX47
IGDCC4,IGDCC4
LRRC47,LRRC47
GPRIN2,GPRIN2
DIRAS2,DIRAS2
ZBTB24,ZBTB24
COX15,COX15
ESRP2,ESRP2
FETUB,FETUB
TUBB,TUBB
GNAS,GNAS
