entry,entry_id
CYP2A6,HGNC:2610
FBXW11,HGNC:13607
CAMK2G,HGNC:1463
PNPLA6,HGNC:16268
TECPR2,HGNC:19957
VPS37A,HGNC:24928
INPP5E,HGNC:21474
CFAP57,HGNC:26485
GUSB,HGNC:4696
FLNA,HGNC:3754
ITGB3,HGNC:6156
PPM1D,HGNC:9277
SOX9,HGNC:11204
LMNA,HGNC:6636
RNASEH1,HGNC:18466
LOXHD1,HGNC:26521
MYO7A,HGNC:7606
FOXI1,HGNC:3815
FTCD,HGNC:3974
SIX1,HGNC:10887
CDX2,HGNC:1806
LBX1,HGNC:16960
TOP2B,HGNC:11990
SGCD,HGNC:10807
SLC9A6,HGNC:11079
PHF8,HGNC:20672
SYP,HGNC:11506
XPNPEP3,HGNC:28052
RAB28,HGNC:9768
NAGLU,HGNC:7632
CEMIP,HGNC:29213
PFN1,HGNC:8881
GPIHBP1,HGNC:24945
DLD,HGNC:2898
DDHD1,HGNC:19714
PLOD2,HGNC:9082
MECOM,HGNC:3498
NSDHL,HGNC:13398
DNAH5,HGNC:2950
IKBKG,HGNC:5961
FBXO38,HGNC:28844
DOK7,HGNC:26594
EXO5,HGNC:26115
SON,HGNC:11183
C9orf72,HGNC:28337
FOXF1,HGNC:3809
HPS6,HGNC:18817
SEC61A1,HGNC:18276
LPIN2,HGNC:14450
MT-CO1,HGNC:7419
NDUFA1,HGNC:7683
LARS2,HGNC:17095
ARHGEF1,HGNC:681
SNORD8,HGNC:20159
PMP22,HGNC:9118
SNORD107,HGNC:32771
PAX9,HGNC:8623
WDR45,HGNC:28912
GARS1,HGNC:4162
SLC25A12,HGNC:10982
FADD,HGNC:3573
IL2RA,HGNC:6008
NELFA,HGNC:12768
MT-TC,HGNC:7477
ARX,HGNC:18060
IL2RG,HGNC:6010
NDN,HGNC:7675
TRHR,HGNC:12299
NTRK1,HGNC:8031
NDUFA9,HGNC:7693
RP1,HGNC:10263
CTSB,HGNC:2527
NSD2,HGNC:12766
CACNA1S,HGNC:1397
OR5AU1,HGNC:15362
LTBP2,HGNC:6715
QARS1,HGNC:9751
TFR2,HGNC:11762
MAP3K1,HGNC:6848
KNG1,HGNC:6383
ELAVL2,HGNC:3313
FAS,HGNC:11920
SLC6A3,HGNC:11049
HUWE1,HGNC:30892
TCAP,HGNC:11610
LRP5,HGNC:6697
GPX4,HGNC:4556
CHD2,HGNC:1917
KLHL41,HGNC:16905
NDUFS3,HGNC:7710
RPS26,HGNC:10414
HIVEP2,HGNC:4921
RIMS1,HGNC:17282
ALDH4A1,HGNC:406
TBX2,HGNC:11597
RASA2,HGNC:9872
PRODH,HGNC:9453
GMPPB,HGNC:22932
CDK16,HGNC:8749
HYKK,HGNC:34403
PRKDC,HGNC:9413
ERCC8,HGNC:3439
MT-ND2,HGNC:7456
HLA-DPB1,HGNC:4940
TET2,HGNC:25941
ADCY1,HGNC:232
COG7,HGNC:18622
DNAAF11,HGNC:16725
TIA1,HGNC:11802
CACNA1A,HGNC:1388
CYB5A,HGNC:2570
HADHB,HGNC:4803
GAS2L2,HGNC:24846
CTDP1,HGNC:2498
TIMP3,HGNC:11822
NHEJ1,HGNC:25737
CDKN1C,HGNC:1786
TMPRSS3,HGNC:11877
FBLN2,HGNC:3601
SOX3,HGNC:11199
GPHN,HGNC:15465
ALG12,HGNC:19358
SPG11,HGNC:11226
ATP7A,HGNC:869
GRM6,HGNC:4598
GTF2IRD2,HGNC:30775
GJB1,HGNC:4283
CPT2,HGNC:2330
ENTPD1,HGNC:3363
APOC2,HGNC:609
SERPIND1,HGNC:4838
PTS,HGNC:9689
TECR,HGNC:4551
EIF2S3,HGNC:3267
A2ML1,HGNC:23336
TNFRSF4,HGNC:11918
AKAP9,HGNC:379
OTOGL,HGNC:26901
PEX14,HGNC:8856
ADK,HGNC:257
CASK,HGNC:1497
CHAMP1,HGNC:20311
MCOLN1,HGNC:13356
DLX2,HGNC:2915
CCT5,HGNC:1618
SOS2,HGNC:11188
CORO1A,HGNC:2252
GNPTG,HGNC:23026
SMARCC2,HGNC:11105
ATP6AP2,HGNC:18305
PPT1,HGNC:9325
TUBG1,HGNC:12417
PRPF31,HGNC:15446
BMPR1B,HGNC:1077
COA3,HGNC:24990
PUF60,HGNC:17042
HCN1,HGNC:4845
NONO,HGNC:7871
ZNF423,HGNC:16762
ALX3,HGNC:449
SPATA13,HGNC:23222
DNAH17,HGNC:2946
NPTX2,HGNC:7953
HGD,HGNC:4892
PTGS1,HGNC:9604
COLEC11,HGNC:17213
SELENBP1,HGNC:10719
FASLG,HGNC:11936
KCNJ5,HGNC:6266
NR0B1,HGNC:7960
MFN2,HGNC:16877
ANKRD17,HGNC:23575
TRRAP,HGNC:12347
EFCAB13,HGNC:26864
POLL,HGNC:9184
AAGAB,HGNC:25662
SCNN1G,HGNC:10602
CUL3,HGNC:2553
F8,HGNC:3546
ACBD5,HGNC:23338
FLG,HGNC:3748
FBXL4,HGNC:13601
MPZ,HGNC:7225
ALDH2,HGNC:404
HTN3,HGNC:5284
LHFPL5,HGNC:21253
BCS1L,HGNC:1020
EGF,HGNC:3229
PSPH,HGNC:9577
SLC13A5,HGNC:23089
NR3C2,HGNC:7979
GFI1B,HGNC:4238
SALL4,HGNC:15924
HDAC8,HGNC:13315
DPP6,HGNC:3010
SPART,HGNC:18514
TBX20,HGNC:11598
AUTS2,HGNC:14262
THBD,HGNC:11784
ATP6AP1,HGNC:868
TAT,HGNC:11573
DNAJC12,HGNC:28908
CRH,HGNC:2355
DLX5,HGNC:2918
MKKS,HGNC:7108
PRG4,HGNC:9364
GLUL,HGNC:4341
ADRB1,HGNC:285
PTCH2,HGNC:9586
FKBP14,HGNC:18625
FOXP2,HGNC:13875
ITGB2,HGNC:6155
SBF2,HGNC:2135
KIZ,HGNC:15865
SLC26A5,HGNC:9359
ABCB1,HGNC:40
CLN6,HGNC:2077
FMO2,HGNC:3770
BCKDHA,HGNC:986
GNB3,HGNC:4400
TCOF1,HGNC:11654
GUCY2D,HGNC:4689
KCNQ1OT1,HGNC:6295
MYLK2,HGNC:16243
LRRC10,HGNC:20264
LYST,HGNC:1968
CFAP43,HGNC:26684
XIST,HGNC:12810
TBK1,HGNC:11584
DLG4,HGNC:2903
CHM,HGNC:1940
ENG,HGNC:3349
OTUD7A,HGNC:20718
TGM1,HGNC:11777
SLC38A9,HGNC:26907
POGLUT1,HGNC:22954
CDCA7,HGNC:14628
HYDIN,HGNC:19368
PAX7,HGNC:8621
ASTN2,HGNC:17021
ZMYM3,HGNC:13054
BSCL2,HGNC:15832
MYO9A,HGNC:7608
MALT1,HGNC:6819
DCDC2,HGNC:18141
TTC7A,HGNC:19750
ERLIN1,HGNC:16947
HARS1,HGNC:4816
ANK3,HGNC:494
SMS,HGNC:11123
CARD14,HGNC:16446
ACVRL1,HGNC:175
EYA4,HGNC:3522
HFE,HGNC:4886
PRODH2,HGNC:17325
MLYCD,HGNC:7150
SERPINB8,HGNC:8952
PPP1R9A,HGNC:14946
NNAT,HGNC:7860
BCKDK,HGNC:16902
CYP2C8,HGNC:2622
EBP,HGNC:3133
KHDC3L,HGNC:33699
TAFAZZIN,HGNC:11577
LAMA2,HGNC:6482
COL4A4,HGNC:2206
ITCH,HGNC:13890
WDR72,HGNC:26790
DSG2,HGNC:3049
POMT1,HGNC:9202
JUP,HGNC:6207
GBA2,HGNC:18986
PHYKPL,HGNC:28249
KIF1B,HGNC:16636
KMT2A,HGNC:7132
ARL6IP1,HGNC:697
IFT43,HGNC:29669
CYP2C9,HGNC:2623
ATPAF2,HGNC:18802
RDX,HGNC:9944
FANCF,HGNC:3587
TAF15,HGNC:11547
